key,source,basis,place,article,sentence,coord_source,merged_series
難波金融伝・ミナミの帝王,Wikipedia由来,エリア,大阪市,難波金融伝・ミナミの帝王,Wikipedia(ja)のカテゴリ「大阪市を舞台とした作品」に属する,osm(wikidata:Q35765),クッキングパパ|りゅうおうのおしごと!|陽だまりの樹|あぶさん|おしりかじり虫|アベノ橋魔法☆商店街|ちびまる子ちゃん イタリアから来た少年|ハンドシェイカー|W'z《ウィズ》|名探偵コナン 大怪獣ゴメラVS仮面ヤイバー
その着せ替え人形は恋をする,公式選定,モデル,岩槻区,その着せ替え人形は恋をする,新菜の実家である「五条人形」は岩槻区の人形工房「鈴木人形」がモデルとなり,jawiki(岩槻区),
それゆけ!宇宙戦艦ヤマモト・ヨーコ,Wikipedia由来,エリア,足立区,それゆけ!宇宙戦艦ヤマモト・ヨーコ,Wikipedia(ja)のカテゴリ「足立区を舞台とした作品」に属する,osm(wikidata:Q213464),
曇天に笑う,Wikipedia由来,エリア,大津市,曇天に笑う,Wikipedia(ja)のカテゴリ「大津市を舞台とした作品」に属する,osm(wikidata:Q202907),さよならララ
ちびまる子ちゃん,Wikipedia由来,登場,清水入江小学校,ちびまる子ちゃん,まる子たちが通う入江小学校も、実在する学校である,osm(名前一致: 市立清水入江小学校),レプリカだって、恋をする。|ガンダムビルドファイターズ|星屑テレパス|模型戦士ガンプラビルダーズ ビギニングG|ゴールFH
とある科学の超電磁砲,公式選定,エリア,立川市,アニメツーリズム協会,jawiki「アニメツーリズム協会」の2018年度版選定地リストで東京都立川市が選定地,osm(wikidata:Q269634),
ひぐらしのなく頃に(白川八幡神社),公式選定,モデル,白川八幡神社,ひぐらしのなく頃に,本作に登場する「古手神社」のモデルとなった、白川八幡神社,osm(wikidata:Q11579699),
ひぐらしのなく頃に(白川郷),公式選定,モデル,白川郷,ひぐらしのなく頃に,雛見沢村の風景のモデルとなった白川郷（岐阜県大野郡白川村）,osm(wikidata:Q1002193),
ひなビタ♪,公式選定,エリア,倉吉市,アニメツーリズム協会,jawiki「アニメツーリズム協会」の2018年度版選定地リストで鳥取県倉吉市が選定地,osm(wikidata:Q642006),
ぼっち・ざ・ろっく!,公式選定,モデル,下北沢SHELTER,ぼっち・ざ・ろっく!,外観のモデルとなっているのはライブハウス「下北沢SHELTER」,osm(名前一致),
ぼっち・ざ・ろっく!_2,公式選定,舞台,琵琶島神社,ぼっち・ざ・ろっく!,金沢八景駅前（アニメでは琵琶島神社境内）でライブのチケットが売れずに窮していたひとりの前に泥酔状態で倒れ込み、ひとりに介抱してもらう,osm(名前一致),
ぽんのみち,Wikipedia由来,エリア,尾道市,ぽんのみち,Wikipedia(ja)のカテゴリ「尾道市を舞台とした作品」に属する,osm(wikidata:Q696694),ソラとウミのアイダ
まんだら屋の良太,Wikipedia由来,エリア,北九州市,まんだら屋の良太,Wikipedia(ja)のカテゴリ「北九州市を舞台とした作品」に属する,osm(wikidata:Q188806),
やくならマグカップも,公式選定,登場,虎渓山永保寺,やくならマグカップも,作品には多治見ながせ商店街、本町オリベストリート、虎渓用水広場、虎渓山永保寺などが登場し,osm(wikidata:Q3049365),
やはり俺の青春ラブコメはまちがっている。,公式選定,エリア,千葉市,やはり俺の青春ラブコメはまちがっている。,jawikiのカテゴリ「千葉市を舞台とした作品」に属する。点として特定できる記述が無いため代表点とした,osm(wikidata:Q170616),
ゆるキャン△,公式選定,モデル,モリパーク アウトドアヴィレッジ,ゆるキャン△,市内のアウトドア用品店「モリパーク」内の「アウトドアヴィレッジ」にあるアウトドアショップがモデルとなっている,osm(検索)※要目視,
らき☆すた,公式選定,モデル,鷲宮神社,らき☆すた,アニメ版でのモデルは埼玉県久喜市（旧北葛飾郡鷲宮町）にある鷲宮神社,osm(wikidata:Q611108),
るろうに剣心 -明治剣客浪漫譚-,Wikipedia由来,エリア,京都市,るろうに剣心 -明治剣客浪漫譚-,Wikipedia(ja)のカテゴリ「京都市を舞台とした作品」に属する,osm(wikidata:Q34600),桃源暗鬼|四畳半神話大系|青のミブロ|舞妓さんちのまかないさん|夜は短し歩けよ乙女|名探偵コナン から紅の恋歌|一休さん|有頂天家族|犬王|継母の連れ子が元カノだった|であいもん|お〜い!竜馬|四畳半タイムマシンブルース|あさきゆめみし|少年陰陽師|七人のナナ|京都寺町三条のホームズ|吸血姫美夕|時空の旅人|ちびまる子ちゃん イタリアから来た少年|京騒戯画|クロックワーク・プラネット|源氏物語千年紀 Genji|瞳のカトブレパス|ハル|おこしやす、ちとせちゃん|HELLO WORLD|ドアマイガーD|みツわの|燃える仏像人間|高野交差点
アイドル事変,Wikipedia由来,エリア,新潟市,アイドル事変,Wikipedia(ja)のカテゴリ「新潟市を舞台とした作品」に属する,osm(wikidata:Q179691),
アンゴルモア 元寇合戦記,公式選定,エリア,長崎県,アンゴルモア 元寇合戦記,jawikiのカテゴリ「長崎県を舞台とした作品」に属する。点として特定できる記述が無いため代表点とした,osm(wikidata:Q169376),
ウマ娘 シンデレラグレイ,公式選定,エリア,岐阜県,ウマ娘 シンデレラグレイ,jawikiのカテゴリ「岐阜県を舞台とした作品」に属する。点として特定できる記述が無いため代表点とした,osm(wikidata:Q131277),
ガラスの仮面,Wikipedia由来,舞台,横浜中華街,ガラスの仮面,未亡人であり、横浜中華街の中華料理店『万福軒』の住み込み店員をしながら、女手ひとつでマヤを育てた,osm(wikidata:Q1141498),株式会社マジルミエ|恋は雨上がりのように|コクリコ坂から|とっとこハム太郎|吸血鬼すぐ死ぬ|スクライド|ヨコハマ買い出し紀行|ネコぱら|名探偵コナン 江戸川コナン失踪事件 〜史上最悪の2日間〜|プリティーリズム・オーロラドリーム|あいつとララバイ|金色のコルダ|超速変形ジャイロゼッター|ぶっちぎり?!|夏のあらし!|KING OF PRISM-Your Endless Call-み〜んなきらめけ!プリズム☆ツアーズ|探偵オペラ ミルキィホームズ|セラフィムコール|ラブオールプレー|絶対少年|ケンタウロスの伝説|.hack//Liminality|横浜ばっくれ隊|ハマトラ
ガールズ&パンツァー,公式選定,エリア,大洗町,ガールズ&パンツァー,jawikiのカテゴリ「大洗町を舞台とした作品」に属する。点として特定できる記述が無いため代表点とした,osm(wikidata:Q1349185),
ガールズバンドクライ(CLUB CITTA'),公式選定,登場,CLUB CITTA',ガールズバンドクライ,最終話にてトゲナシトゲアリとダイヤモンドダストの対バンイベントの会場として登場した,osm(名前一致),
ガールズバンドクライ(ちどり公園),公式選定,登場,ちどり公園,ガールズバンドクライ,第11話にてBAYCAMPが描かれ、この公園も登場した,osm(名前一致),
ガールズバンドクライ(ヒルバレー ラ チッタデッラ店),公式選定,登場,ヒルバレー ラ チッタデッラ店,ガールズバンドクライ,第13話にて、仁菜とヒナが落ち合う場所として登場するポップコーン店,osm(入居先: Cinecittà)※要目視,
ガールズバンドクライ(ラゾーナ川崎プラザ),公式選定,登場,ラゾーナ川崎プラザ,ガールズバンドクライ,第3話にて新川崎（仮）の初めてのライブが行われる場所として登場する(ルーファ広場)/第4話にて新川崎（仮）が訪れる場所として登場する(島村楽器),jawiki(ラゾーナ川崎プラザ),
ガールズバンドクライ(丸福珈琲店 川崎アゼリア店),公式選定,登場,丸福珈琲店 川崎アゼリア店,ガールズバンドクライ,第1話と第6話にて登場する丸福珈琲店,osm(入居先: wikidata:Q80562 川崎駅)※要目視,
ガールズバンドクライ(川崎セルビアンナイト),公式選定,登場,川崎セルビアンナイト,ガールズバンドクライ,第5話にて新川崎（仮）の2度目のライブが行われる場所として登場する,osm(名前一致)※要目視,
ガールズバンドクライ(川崎駅東口駅前広場),公式選定,登場,川崎駅東口駅前広場,ガールズバンドクライ,第1話にて仁菜と桃香が路上ライブを行う場所として登場する,osm(名前一致: 川崎駅東口)※要目視,
キン肉マン,Wikipedia由来,エリア,大田区,キン肉マン,Wikipedia(ja)のカテゴリ「大田区を舞台とした作品」に属する,osm(wikidata:Q217234),おぼっちゃまくん|それでも町は廻っている|ぱにぽに
コイ☆セント,Wikipedia由来,エリア,奈良市,コイ☆セント,Wikipedia(ja)のカテゴリ「奈良市を舞台とした作品」に属する,osm(wikidata:Q169134),
サマーウォーズ,公式選定,エリア,上田市,サマーウォーズ,jawikiのカテゴリ「上田市を舞台とした作品」に属する。点として特定できる記述が無いため代表点とした,osm(wikidata:Q844852),
スローループ,公式選定,エリア,横須賀市,スローループ,jawikiのカテゴリ「横須賀市を舞台とした作品」に属する。点として特定できる記述が無いため代表点とした,osm(wikidata:Q200578),
デュラララ!!,公式選定,エリア,豊島区,アニメツーリズム協会,jawiki「アニメツーリズム協会」の2018年度版選定地リストで東京都豊島区が選定地,osm(wikidata:Q236680),
ダイヤモンドは砕けない,Wikipedia由来,エリア,仙台市,ダイヤモンドは砕けない,Wikipedia(ja)のカテゴリ「仙台市を舞台とした作品」に属する,osm(wikidata:Q46747),BLUE GIANT|カルラ舞う!|かんなぎ
ハイスクール・フリート,公式選定,エリア,横須賀市,ハイスクール・フリート,jawikiのカテゴリ「横須賀市を舞台とした作品」に属する。点として特定できる記述が無いため代表点とした,osm(wikidata:Q200578),
ハチミツとクローバー,Wikipedia由来,モデル,武蔵野美術大学,ハチミツとクローバー,舞台となっている浜田山美術大学のモデルは武蔵野美術大学で、建物の描写がリアルに再現されている,osm(wikidata:Q1326245),ひらやすみ|チンプイ|アクセル・ワールド|マカロニほうれん荘|それが声優!|多数欠|宇宙パトロールルル子|独身アパートどくだみ荘|アクエリオンロゴス|ぼくらのよあけ
炎の闘球児 ドッジ弾平,Wikipedia由来,エリア,鎌倉市,炎の闘球児 ドッジ弾平,Wikipedia(ja)のカテゴリ「鎌倉市を舞台とした作品」に属する,osm(wikidata:Q200267),エリアの騎士|Just Because!|かくしごと|セイクリッドセブン|吸血姫美夕|ねらわれた学園|覆面系ノイズ|姉、ちゃんとしようよっ!|うた∽かた|ちみも|オチビサン|青い花
ブルバスター,公式選定,取材,藍島,ブルバスター,中尾浩之監督は作品のイメージを掴むため、北九州市内の工場地帯や藍島をロケハンしている,osm(wikidata:Q11622569),
ミギとダリ,Wikipedia由来,エリア,神戸市,ミギとダリ,Wikipedia(ja)のカテゴリ「神戸市を舞台とした作品」に属する,osm(wikidata:Q48320),高校鉄拳伝タフ|かげきしょうじょ!!|思い、思われ、ふり、ふられ|あさきゆめみし
ヤマノススメ,公式選定,エリア,埼玉県,ヤマノススメ (アニメ),jawikiのカテゴリ「埼玉県を舞台とした作品」に属する。点として特定できる記述が無いため代表点とした,osm(wikidata:Q128186),
ヨコハマ買い出し紀行,Wikipedia由来,エリア,横須賀市,ヨコハマ買い出し紀行,Wikipedia(ja)のカテゴリ「横須賀市を舞台とした作品」に属する,osm(wikidata:Q200578),B・B|たまゆら
ラブライブ!サンシャイン!!,公式選定,エリア,函館市,ラブライブ!サンシャイン!!,jawikiのカテゴリ「函館市を舞台とした作品」に属する。点として特定できる記述が無いため代表点とした,osm(wikidata:Q26418),
ラブライブ!スーパースター!!,公式選定,エリア,茨城県,ラブライブ!スーパースター!!,jawikiのカテゴリ「茨城県を舞台とした作品」に属する。点として特定できる記述が無いため代表点とした,osm(wikidata:Q83273),
ラブライブ!虹ヶ咲学園スクールアイドル同好会,公式選定,モデル,東京ビッグサイト,ラブライブ!虹ヶ咲学園スクールアイドル同好会,同好会のメンバーが通う虹ヶ咲学園のモデルは「東京国際展示場（東京ビッグサイト）」となっている,osm(wikidata:Q1359125),
リコリス・リコイル,公式選定,舞台,錦糸町駅,リコリス・リコイル,錦糸町駅北口から少し歩いた墨田区内の下町に所在し,osm(wikidata:Q801017),
一休さん,公式選定,エリア,京田辺市,アニメツーリズム協会,jawiki「アニメツーリズム協会」の2018年度版選定地リストで京都府京田辺市が選定地,osm(wikidata:Q816728),
すべてがFになる,Wikipedia由来,エリア,名古屋市,すべてがFになる,Wikipedia(ja)のカテゴリ「名古屋市を舞台とした作品」に属する,osm(wikidata:Q11751),名探偵コナン 緋色の弾丸|まじかる☆タルるートくん|まめきちまめこニートの日常|やっとかめ探偵団|メダリスト|大須のぶーちゃん|トラとミケ
凪のあすから,公式選定,エリア,熊野市,アニメツーリズム協会,jawiki「アニメツーリズム協会」の2018年度版選定地リストで三重県熊野市が選定地,osm(wikidata:Q819672),
千歳くんはラムネ瓶のなか,公式選定,エリア,福井県,千歳くんはラムネ瓶のなか,jawikiのカテゴリ「福井県を舞台とした作品」に属する。点として特定できる記述が無いため代表点とした,osm(wikidata:Q133879),
名探偵コナン 100万ドルの五稜星,Wikipedia由来,舞台,五稜郭,名探偵コナン 100万ドルの五稜星,本作の舞台である北海道函館市の五稜郭が描かれた,osm(wikidata:Q1196357),名探偵コナン 銀翼の奇術師|永久のユウグレ|東京大学物語|ノエイン もうひとりの君へ
君の膵臓をたべたい,Wikipedia由来,エリア,福岡市,君の膵臓をたべたい,Wikipedia(ja)のカテゴリ「福岡市を舞台とした作品」に属する,osm(wikidata:Q26600),ドグラ・マグラ|クッキングパパ|サザエさん|あぶさん|夫婦以上、恋人未満。|博多豚骨ラーメンズ|Buddy Daddies|劇場版MAJOR メジャー 友情の一球|ザ・サムライ|その時、カノジョは。|市立戦隊ダイテンジン
君は放課後インソムニア,公式選定,モデル,石川県立七尾高等学校,君は放課後インソムニア,作中で主人公たちが通う高校は石川県立七尾高等学校をモデルとしている,jawiki,
夏目友人帳,公式選定,モデル,人吉市,夏目友人帳,明確な舞台設定は無いが、劇中には作者の出身地・在住地である熊本県人吉市の風景をモデルとする描写が多数存在する,osm(wikidata:Q861292),
邪神ちゃんドロップキック,Wikipedia由来,エリア,千代田区,邪神ちゃんドロップキック,Wikipedia(ja)のカテゴリ「千代田区を舞台とした作品」に属する,osm(wikidata:Q214051),秘密結社鷹の爪
大奥_2,Wikipedia由来,エリア,長崎市,大奥 (漫画),Wikipedia(ja)のカテゴリ「長崎市を舞台とした作品」に属する,osm(wikidata:Q38234),お〜い!竜馬|REVENGER
天才バカボン,Wikipedia由来,エリア,新宿区,天才バカボン,Wikipedia(ja)のカテゴリ「新宿区を舞台とした作品」に属する,osm(wikidata:Q179645),まことちゃん|幻魔大戦|真夜中のオカルト公務員|ハイスクールミステリー学園七不思議|忍者ハットリくん+パーマン 忍者怪獣ジッポウVSミラクル卵
女子高生の無駄づかい,公式選定,エリア,埼玉県,女子高生の無駄づかい,jawikiのカテゴリ「埼玉県を舞台とした作品」に属する。点として特定できる記述が無いため代表点とした,osm(wikidata:Q128186),
宇宙よりも遠い場所,公式選定,舞台,館林市,宇宙よりも遠い場所,作中の舞台では館林となっているが、モデルとなっているのは協力クレジットもされている桐生市立商業高等学校である,osm(wikidata:Q858016),
幻魔大戦,Wikipedia由来,エリア,武蔵野市,幻魔大戦 (映画),Wikipedia(ja)のカテゴリ「武蔵野市を舞台とした作品」に属する,osm(wikidata:Q210661),毎日かあさん
弱虫ペダル,公式選定,エリア,千葉県,弱虫ペダル,jawikiのカテゴリ「千葉県を舞台とした作品」に属する。点として特定できる記述が無いため代表点とした,osm(wikidata:Q80011),
彼女、お借りします,Wikipedia由来,エリア,練馬区,彼女、お借りします,Wikipedia(ja)のカテゴリ「練馬区を舞台とした作品」に属する,osm(wikidata:Q232655),ドラえもん|らんま1/2|ど根性ガエル|SSSS.GRIDMAN|がきデカ|ツヨシしっかりしなさい|ハヤテのごとく!|究極超人あ〜る|女子高生|鉄腕バーディー|かってに改蔵|ロボットガールズZ|魔女っ子チックル|少女ファイト|臨死!!江古田ちゃん|タッチ|H2
心が叫びたがってるんだ。(大慈寺),公式選定,舞台,大慈寺,心が叫びたがってるんだ。,横瀬駅や大慈寺（秩父三十四箇所札所十番）など、秩父郡横瀬町の風景も多く登場する,osm(検索)※要目視,
心が叫びたがってるんだ。(横瀬駅),公式選定,舞台,横瀬駅,心が叫びたがってるんだ。,横瀬駅や大慈寺（秩父三十四箇所札所十番）など、秩父郡横瀬町の風景も多く登場する,osm(wikidata:Q8016151),
惡の華,Wikipedia由来,モデル,大宮区,惡の華,高校編の街のモデルは埼玉県さいたま市大宮区である,jawiki(大宮区),おおきく振りかぶって|新幹線変形ロボ シンカリオン|エースをねらえ!|ONE OUTS|赤き血のイレブン|ナナマル サンバツ|どんぐりの家|浦和の調ちゃん|よふかしのうた|フジログ
推しが武道館いってくれたら死ぬ,公式選定,エリア,岡山市,推しが武道館いってくれたら死ぬ,jawikiのカテゴリ「岡山市を舞台とした作品」に属する。点として特定できる記述が無いため代表点とした,osm(wikidata:Q200078),
放課後ていぼう日誌(佐敷駅),公式選定,モデル,佐敷駅,放課後ていぼう日誌,「三敷駅」「山浦駅」のモデルとなった佐敷駅や海浦駅,osm(wikidata:Q10885935),
放課後ていぼう日誌(海浦駅),公式選定,モデル,海浦駅,放課後ていぼう日誌,「三敷駅」「山浦駅」のモデルとなった佐敷駅や海浦駅,osm(wikidata:Q11559047),
文豪ストレイドッグス,公式選定,エリア,横浜市,文豪ストレイドッグス,jawikiのカテゴリ「横浜市を舞台とした作品」に属する。点として特定できる記述が無いため代表点とした,osm(wikidata:Q38283),
新世紀エヴァンゲリオン,公式選定,舞台,芦ノ湖,新世紀エヴァンゲリオン,設定にある第3新東京市とは、実際の日本地図に当てはめると、神奈川県足柄下郡箱根町仙石原付近の芦ノ湖北岸あたりになる,osm(wikidata:Q187053),
最終兵器彼女,Wikipedia由来,モデル,士別駅,最終兵器彼女,原作でちせとシュウジが最終的に暮らしていた建物は、JR北海道士別駅がモデルである,osm(wikidata:Q900999),波よ聞いてくれ|+チック姉さん|生徒会の一存|スナックバス江|ねこ・ねこ・幻想曲|サムライダー|超ぽじてぃぶ! ファイターズ|札幌乙女ごはん。
月がきれい,公式選定,エリア,川越市,月がきれい,jawikiのカテゴリ「川越市を舞台とした作品」に属する。点として特定できる記述が無いため代表点とした,osm(wikidata:Q319740),
桜蘭高校ホスト部,Wikipedia由来,エリア,文京区,桜蘭高校ホスト部,Wikipedia(ja)のカテゴリ「文京区を舞台とした作品」に属する,osm(wikidata:Q212713),さよなら絶望先生|東京大学物語|ミラクルジャイアンツ童夢くん|こみっくがーるず
氷菓,公式選定,エリア,高山市,氷菓 (小説),高山市の記事に「TVアニメ版の作品に登場した街並みが当市と京都府をモデルとしている」とある,osm(wikidata:Q622594),
江戸前エルフ,公式選定,エリア,月島,江戸前エルフ,jawikiのカテゴリ「月島を舞台とした作品」に属する。点として特定できる記述が無いため代表点とした,osm(wikidata:Q1048979),
沖縄で好きになった子が方言すぎてツラすぎる,公式選定,エリア,沖縄県,沖縄で好きになった子が方言すぎてツラすぎる,jawikiのカテゴリ「沖縄県を舞台とした作品」に属する。点として特定できる記述が無いため代表点とした,osm(wikidata:Q766445),
涼宮ハルヒシリーズ(甲陽園駅),公式選定,モデル,甲陽園駅,涼宮ハルヒシリーズ,モデルは阪急甲陽線甲陽園駅とされ、アニメ版のロケハンが同駅周辺でも行われた,osm(wikidata:Q6455342),
涼宮ハルヒシリーズ(西宮北口駅),公式選定,モデル,西宮北口駅,涼宮ハルヒシリーズ,モデルは阪急神戸本線今津線の西宮北口駅（北西口）とされ、アニメ版のロケハンも現地で行われた,osm(wikidata:Q7040671),
坂本ですが?,Wikipedia由来,エリア,西宮市,坂本ですが?,Wikipedia(ja)のカテゴリ「西宮市を舞台とした作品」に属する,osm(wikidata:Q243853),長門有希ちゃんの消失
男女の友情は成立する?（いや、しないっ!!）,公式選定,エリア,宮崎県,男女の友情は成立する?（いや、しないっ!!）,jawikiのカテゴリ「宮崎県を舞台とした作品」に属する。点として特定できる記述が無いため代表点とした,osm(wikidata:Q130300),
白い砂のアクアトープ,公式選定,エリア,沖縄県,白い砂のアクアトープ,jawikiのカテゴリ「沖縄県を舞台とした作品」に属する。点として特定できる記述が無いため代表点とした,osm(wikidata:Q766445),
真夜中ハートチューン,Wikipedia由来,エリア,千葉市,真夜中ハートチューン,Wikipedia(ja)のカテゴリ「千葉市を舞台とした作品」に属する,osm(wikidata:Q170616),私がモテないのはどう考えてもお前らが悪い!|ボールパークでつかまえて!|けものとチャット
神様はじめました,公式選定,エリア,川越市,神様はじめました,jawikiのカテゴリ「川越市を舞台とした作品」に属する。点として特定できる記述が無いため代表点とした,osm(wikidata:Q319740),
私を喰べたい、ひとでなし,公式選定,モデル,伊予市,私を喰べたい、ひとでなし,本作の舞台は海辺の穏やかな田舎町のイメージで設定されているが、一部は愛媛県伊予市など作者の苗川の地元である中予地方がモデルとなっている,osm(wikidata:Q838678),
秒速5センチメートル,公式選定,舞台,岩舟駅,秒速5センチメートル,「桜花抄」の舞台、映画のポスターにもなった岩舟駅前,osm(wikidata:Q11475586),
空の青さを知る人よ,公式選定,エリア,埼玉県,空の青さを知る人よ,jawikiのカテゴリ「埼玉県を舞台とした作品」に属する。点として特定できる記述が無いため代表点とした,osm(wikidata:Q128186),
結城友奈は勇者である,公式選定,エリア,観音寺市,結城友奈は勇者である,jawikiのカテゴリ「観音寺市を舞台とした作品」に属する。点として特定できる記述が無いため代表点とした,osm(wikidata:Q861270),
美味しんぼ,Wikipedia由来,エリア,中央区(東京都),美味しんぼ,Wikipedia(ja)のカテゴリ「東京都中央区を舞台とした作品」に属する,osm(wikidata:Q212704),3月のライオン|透明な夜に駆ける君と、目に見えない恋をした。|乙女怪獣キャラメリゼ|大奥|月面兎兵器ミーナ
美少女戦士セーラームーン,Wikipedia由来,モデル,麻布氷川神社,美少女戦士セーラームーン,モデルは東京都港区元麻布の氷川神社（原作）、東京都港区赤坂の赤坂氷川神社（旧作アニメ）,osm(wikidata:Q11549612),かぐや様は告らせたい〜天才たちの恋愛頭脳戦〜|まほらば|大正野球娘。|バブル
花咲くいろは(湯涌温泉),公式選定,モデル,湯涌温泉,花咲くいろは,ぼんぼり祭りは、湯乃鷺温泉のモデルとなった湯涌温泉にて同温泉観光協会の主催で再現されることとなった,osm(検索)※要目視,
花咲くいろは(西岸駅),公式選定,モデル,西岸駅,花咲くいろは,モデルとなった西岸駅には「湯乃鷺駅」の駅名標が設置されている,osm(wikidata:Q8189152),
菜なれ花なれ(舒林寺),公式選定,モデル,舒林寺,菜なれ花なれ,沼田市にある「舒林寺」がモデルとなっており、放送後には多くのファンが訪れた,osm(名前一致),
菜なれ花なれ(高崎中央銀座商店街),公式選定,取材,高崎中央銀座商店街,菜なれ花なれ,高崎市では高崎中央銀座商店街などでロケハンが行われた,jawiki,
蒼の彼方のフォーリズム,公式選定,モデル,五島列島,蒼の彼方のフォーリズム,作品舞台の島々は五島列島をモデルにしている,osm(wikidata:Q1333790),
蒼穹のファフナー,公式選定,エリア,尾道市,蒼穹のファフナー,作品記事に「島の町並みのモデルは広島県の尾道市や福山市」とある,osm(wikidata:Q696694),
藍より青し,Wikipedia由来,エリア,豊島区,藍より青し,Wikipedia(ja)のカテゴリ「豊島区を舞台とした作品」に属する,osm(wikidata:Q236680),バカ姉弟|ぼくらマンガ家 トキワ荘物語
超かぐや姫!,Wikipedia由来,舞台,立川シネマシティ,超かぐや姫!,作中の舞台にもなった立川シネマシティでは急遽、公開2日目の2月21日にオールナイト上映を実施,jawiki(シネマシティ),とある魔術の禁書目録|聖☆おにいさん|パパのいうことを聞きなさい!|ガッチャマン クラウズ|世界征服〜謀略のズヴィズダー〜|カイトアンサ|ナゾトキネ
透明な夜に駆ける君と、目に見えない恋をした。,Wikipedia由来,エリア,江東区,透明な夜に駆ける君と、目に見えない恋をした。,Wikipedia(ja)のカテゴリ「江東区を舞台とした作品」に属する,osm(wikidata:Q215175),てーきゅう|恋と選挙とチョコレート
進撃の巨人,公式選定,施設,大山ダム,アニメツーリズム協会(選定地の名称のみ),日田市の大山ダムに進撃の巨人の主要キャラクターの銅像が設置されている,jawiki,
釣りキチ三平,公式選定,エリア,横手市,釣りキチ三平,jawikiのカテゴリ「横手市を舞台とした作品」に属する。点として特定できる記述が無いため代表点とした,osm(wikidata:Q496479),
青のオーケストラ,公式選定,モデル,千葉県立幕張総合高等学校,青のオーケストラ,モデルとなった高校は、千葉県立幕張総合高等学校,osm(wikidata:Q11406273),
頭文字D,公式選定,舞台,箱根ターンパイク,頭文字D,かつての自身の先輩である北条凛だと知る涼介は、チームの活動とは別に超高速コース・箱根ターンパイクで互いの生死を賭けたバトルを計画する,jawiki(MFゴーストと同一地点),
