key,article,place_kind,pref,muni,origin_pref,origin_muni,origin_basis,origin_sentence,local_pref,local_muni,local_sentence,coord,pageviews_month,muni_basis,muni_sentence,muni_shop,origin_verdict,origin_verdict_sentence
サケ,サケ,発祥地,北海道,,北海道,,都道府県のみ,上記呼称を含めて地方名も多く、アキザケとアキアジは北海道や青森県、秋田県、トキシラズとナツザケとラシャマスは北海道で使われる。,,,,"osm(県庁所在地:札幌市,node:57683926)",6048,,,,発祥は特定なし,石狩鍋：石狩地方発祥のサケと豆腐、野菜などを味噌で煮込む鍋。
ハスカップ,ハスカップ,発祥地,北海道,,北海道,,都道府県のみ,原義は「枝条・の上・にたくさん〔なる〕・もの」を意味する「ハㇱカオㇷ゚（has-ka-o-p）」とされ辻井 2006 201知里 1993 26-27、アイヌ文化研究家の更科源蔵は北海道中央部から西南部での呼称と紹介している『コタン生物記』新版Ⅰ 2020 51。,,,,"osm(勇払原野の代表:苫小牧市,node:263097353)",5991,勇払原野の代表(表に当てた),以上のように勇払原野を中心とした地域では、ハスカップを食用としていたこともあり、かつてハスカップの実がなる季節に原野に野生のハスカップを摘みに行く文化があった。,,発祥は特定なし,北海道、本州中部以北、シベリア東部、モンゴル、中国東北部、朝鮮半島北部、サハリン（樺太）、千島列島、カムチャツカ半島などに分布する。
お好み焼き,お好み焼き,発祥地,大阪府,,大阪府,,都道府県のみ,お好み焼き（おこのみやき）は、小麦粉と鶏卵、キャベツ、ソースなどを使用する鉄板焼きの一種である。,,,,"osm(県庁所在地:大阪市,node:57563779)",5900,,,,発祥は特定なし,食文化史研究家の岡田哲は、「お好み焼き」は当時の東京の花街において、座敷にしつらえた鉄板で客が自分の「好み」に焼く風流な遊戯料理として誕生した「お好み焼きの事始めは明らかではないが、昭和6〜7年ごろに、どんどん焼きの調理形態から東京の花柳界で創始されたという説がある。
ニシン,ニシン,発祥地,北海道,,北海道,,都道府県のみ,日本付近では春、産卵のために北海道周辺沿岸に現れる。,,,,"osm(県庁所在地:札幌市,node:57683926)",5757,,,,発祥は特定なし,京都名物に、にしん料理があるのもこのような理由による。
シャコ,シャコ,発祥地,岡山県,,岡山県,,都道府県のみ,シャコ（蝦蛄、青龍蝦）は、軟甲綱トゲエビ亜綱シャコ目（口脚目、シャコ類）に分類される甲殻類の総称、もしくはそのうちのシャコ科シャコ属に属する1種（学名: ）の和名。,,,,"osm(県庁所在地:岡山市,node:703048335)",5624,,,,発祥は特定なし,産地では、塩茹でにして手で剥いて食べたり、から揚げにすることが多い。
竹岡ラーメン,竹岡ラーメン,発祥店,千葉県,富津市,千葉県,富津市,発祥を述べる文,竹岡ラーメン（たけおかラーメン）・竹岡式ラーメンとは、千葉県内房（富津市竹岡など）周辺発祥のご当地ラーメンである。,,,,発祥店:梅乃家 (way:700980948)(amenity=restaurant),5479,,,,発祥がわかる,漁師町とされる千葉県富津市竹岡に所在するラーメン店「梅乃家」（うめのや）と、同じく富津市竹岡の「鈴屋」（すずや）が発祥とされている。
カステラ,カステラ,発祥地,長崎県,長崎市,長崎県,長崎市,都道府県のみ,カステラは、鶏卵・砂糖・水飴・小麦粉を混ぜ合わせた生地をオーブンで焼いた菓子の一つ。,,,,"osm(place=city,node:568515366)",5303,本文の読み直し,長崎県長崎市の特産品であり、長崎県菓子工業組合が「長崎カステラ」の地域団体商標を取得している。,,発祥は特定なし,日本で初めてカステラを焼いた人物としては、豊後府内に病院を設立して病人に滋養食として牛乳や牛肉を与え、大友宗麟を南蛮料理で饗応したこともある宣教師ルイス・デ・アルメイダや、1592年（文禄元年）に肥前名護屋で秀吉に南蛮料理や南蛮菓子をふるまった史料の残る村山等安などが候補に挙げられるが、明確な史料はない。
盛岡冷麺,盛岡冷麺,ご当地,岩手県,盛岡市,岩手県,盛岡市,冒頭の定義文,盛岡冷麺（もりおかれいめん）は、岩手県盛岡市の名物麺料理。,岩手県,盛岡市,盛岡冷麺（もりおかれいめん）は、岩手県盛岡市の名物麺料理。,"osm(place=city,node:471357225)",5172,,,,発祥がわかる,朝鮮半島北部（現・北朝鮮）の咸興生まれの在日朝鮮人1世の青木輝人（朝鮮名：楊龍哲（よう りゅうてつ、ヤン・ヨンチョル：kor 양용철））が、1954年（昭和29年）5月に盛岡でテーブル4つの「食道園」を開業し、店で出したのが最初である。
油そば,油そば,発祥地,東京都,国立市,東京都,国立市,発祥を述べる文,歴史起源に関しては、1952年（昭和27年）に創業した国立市の一橋大学そばの「三幸」が、のびたラーメンをヒントに昭和30年代前半頃から酒の肴として提供を開始したとする説や、同じく昭和30年代に武蔵野市境の亜細亜大学そばの「珍々亭」が中国の拌麺（:zh:拌麵）をヒントに油そばを発売したという説の両説がある。,,,,"osm(place=city,node:623805032)",5149,,,,発祥は特定なし,起源に関しては、1952年（昭和27年）に創業した国立市の一橋大学そばの「三幸」が、のびたラーメンをヒントに昭和30年代前半頃から酒の肴として提供を開始したとする説や、同じく昭和30年代に武蔵野市境の亜細亜大学そばの「珍々亭」が中国の拌麺（:zh:拌麵）をヒントに油そばを発売したという説の両説がある。
たこ焼き,たこ焼き,発祥地,大阪府,大阪市,大阪府,大阪市,都道府県のみ,手前には爪楊枝が刺さっている      大阪府    1933年（昭和8年）頃            小麦粉、タコ  紅ショウガ、青のり、鰹節、天かす、桜えび、チーズ、ウインナー、イカ、エビ、などたこ焼き（たこやき、蛸焼き・タコ焼き・たこ焼き）は、小麦粉の生地の中にタコ（主にマダコ）と薬味を入れて直径 3-5cmほどの球形に焼き上げた郷土料理。,,,,"osm(place=city,node:57563779)",4968,本文の読み直し,たこ焼きの創始者は、大阪府大阪市西成区「会津屋」の初代・遠藤留吉とされている。,会津屋,発祥がわかる,たこ焼きの創始者は、大阪府大阪市西成区「会津屋」の初代・遠藤留吉とされている。
シークヮーサー,シークヮーサー,発祥地,沖縄県,,沖縄県,,都道府県のみ,利用日本では沖縄県が特産でよく栽培されている。,,,,"osm(県庁所在地:那覇市,node:567940176)",4944,,,,発祥は特定なし,琉球諸島および台湾に自生している。
イトウ,イトウ,発祥地,北海道,,北海道,,都道府県のみ,分布日本では北海道道央以北・以東の一部（11水系）の河川・湖沼に、その他に樺太や南千島に生息している。,,,,"osm(県庁所在地:札幌市,node:57683926)",4768,,,,発祥は特定なし,日本では北海道道央以北・以東の一部（11水系）の河川・湖沼に、その他に樺太や南千島に生息している。
もんじゃ焼き,もんじゃ焼き,ご当地,東京都,墨田区,東京都,墨田区,発祥を述べる文,歴史現在に繋がるもんじゃ焼きのスタイルは戦後の昭和20年代に誕生し、浅草近辺（墨田区本所地区　現:墨田区東駒形）が発祥とされる事が多いようである。,東京都,中央区,東京都中央区月島の「西仲通り商店街」は「もんじゃ焼きの街」「もんじゃストリート」と呼ばれ観光客で賑わう。,"osm(月島,relation:3788739)",4739,記事が書いている地点(月島),特に観光地として有名なのは、月島と浅草である。,,発祥は特定なし,浅草近辺（墨田区本所地区 現:墨田区東駒形）が発祥とされる事が多いようである。
沖縄そば,沖縄そば,発祥地,沖縄県,那覇市,沖縄県,那覇市,都道府県のみ,沖縄そば（おきなわそば、沖縄方言:すば、は、中華麺に由来する製法の麺を使用した、沖縄県の郷土料理（沖縄料理）である。,,,,"osm(place=city,node:567940176)",4704,本文の読み直し,しかし、庶民に麺料理が一般に知られるようになったのは琉球処分後の明治後期以降のことであり、日本本土出身者が連れてきた中国人コックが那覇の辻遊廓近くに開いた支那そば屋が、今日の沖縄そばの直接のルーツであると考えられている。,,発祥は特定なし,発祥については諸説あるが、中国にある「琉球交流史」に、1534年に琉球王の四十九日供養に「粉湯（中国語で、汁そばの意味）」を献上したとあるのが原形だとされている。
万願寺とうがらし,万願寺とうがらし,発祥地,京都府,舞鶴市,京都府,舞鶴市,発祥を述べる文,京都府舞鶴市が発祥の京野菜。,,,,"osm(万願寺,node:8867491551)",4670,記事が書いている地点(万願寺),万願寺とうがらし（まんがんじとうがらし）は、トウガラシの品種のひとつ,,発祥がわかる,大正末期から昭和初期にかけて京都府舞鶴市万願寺地区にて伏見系のトウガラシとカリフォルニア・ワンダー系のトウガラシを交配して誕生したものと言われている。
チキン南蛮,チキン南蛮,発祥店,宮崎県,延岡市,宮崎県,延岡市,冒頭の定義文,チキン南蛮（チキンなんばん）は、小麦粉と溶き卵を絡めた鶏肉を油で揚げ、甘酢（南蛮甘酢ダレ）に浸した宮崎県延岡市発祥の鶏肉料理である。,,,,発祥店:元祖チキン南蛮 直ちゃん(amenity=restaurant),4563,,,,発祥がわかる,「チキン南蛮」を考案したのは、おぐらの創業者甲斐義光の兄である甲斐照幸とされている。
ちんすこう,ちんすこう,発祥地,沖縄県,,沖縄県,,都道府県のみ,ちんすこう（金楚）は、琉球王朝時代から沖縄県で作られている伝統的な琉球菓子。,,,,"osm(県庁所在地:那覇市,node:567940176)",4552,,,,発祥は特定なし,由来には諸説ある。
ホンビノスガイ,ホンビノスガイ,発祥地,千葉県,船橋市,千葉県,船橋市,都道府県のみ,日本の東京湾など、千葉県以北にも定着しさらに繁殖している、後述のとおり漁獲対象になっている。,,,,"osm(place=city,node:264883234)",4533,本文の読み直し,主産地の千葉県船橋市では水産業界や飲食店が2019年から「日本クラムチャウダー選手権」を始めるなど消費拡大を図っている。,,発祥は特定なし,原産分布海域は北アメリカ大陸の大西洋側 である。
赤福餅,赤福餅,発祥地,三重県,伊勢市,三重県,伊勢市,冒頭の定義文,赤福餅（あかふくもち）は、三重県伊勢市に構える和菓子屋「赤福」を代表する商品である。,,,,"osm(place=city,node:1301968609)",4516,,,,発祥がわかる,1707年（宝永4年）執筆、1708年（宝永5年）刊行の市中軒の浮世草子『美景蒔絵松』に、伊勢古市の女が「（恋仲になった男が）赤福とやら青福とやら云ふあたゝかな餅屋に聟に入りを見向きもしなくなってしまい、その裏切りがくやしうて泣いております」と嘆いたという話があり、これが「赤福」の屋号の初出である。そのため、現在は1707年（宝永4年）を赤福の創業年としている。
トルコライス,トルコライス,ご当地,長崎県,長崎市,長崎県,長崎市,冒頭の定義文,トルコライスは、長崎県、主に長崎市を中心としたご当地グルメで、一皿に多種のおかずが盛りつけられた洋風料理である。,長崎県,長崎市,トルコライスは、長崎県、主に長崎市を中心としたご当地グルメで、一皿に多種のおかずが盛りつけられた洋風料理である。,"osm(place=city,node:568515366)",4436,,,,発祥は特定なし,1950年代に誕生したとされるが、名前の由来も含めて不明な点が多い。
ヨウサイ,ヨウサイ,発祥地,沖縄県,,沖縄県,,都道府県のみ,日本には古くは沖縄県方面を経て九州に渡来した。,,,,"osm(県庁所在地:那覇市,node:567940176)",4354,,,,発祥は特定なし,熱帯アジア原産と考えられており猪股慶子監修 成美堂出版編集部編 2012 21、熱帯アフリカから東アジアまで広域にわたって野生している農文協編 2004 31。
シシャモ,シシャモ,発祥地,北海道,むかわ町,北海道,むかわ町,都道府県のみ,分布世界中でも北海道太平洋側の内浦湾から厚岸湾の沿岸地域にのみ分布する。,,,,"osm(place=town,node:361127826)",4318,本文の読み直し,産地としては胆振のむかわ町を流れる鵡川が有名である。,,発祥は特定なし,
くさや,くさや,発祥地,東京都,,東京都,,都道府県のみ,くさや    焼いたサンマのくさや    東京都伊豆諸島  100 gくさやとは、伊豆諸島の特産品として知られている、魚類の干物の一種である。,,,,"osm(伊豆諸島の代表:大島町,node:1632465089)",4267,伊豆諸島の代表(表に当てた),くさやの主な産地は新島、八丈島、伊豆大島など伊豆諸島である。,,発祥は特定なし,正確な発祥地は不明だが、伊豆諸島では新島を元祖とする説が有力であり、八丈島のくさや製造業者団体である八丈島水産加工業協同組合は「八丈島のくさや製造は新島からくさや液を分けてもらって始められた」としている。
ウスターソース,ウスターソース,発祥地,愛知県,,愛知県,,都道府県のみ,ウスターソース（ウスターシャーソース/ウースターソース、）は、野菜のピュレに食塩、砂糖、酢、香辛料、アンチョビを加えて調整・熟成させた液体調味料。,,,,"osm(県庁所在地:名古屋市,node:569005393)",4255,,,,発祥がわかる,19世紀初頭にイギリスのウスターシャー州・ウスターの主婦が、食材の余りを調味料とともに入れ保存したままにしたところ、ソースができていた澁川 2017 262。
わんこそば,わんこそば,発祥地,岩手県,,岩手県,,都道府県のみ,わんこそば（椀こ蕎麦）は、岩手県（花巻、盛岡）に伝わる蕎麦（そば）の一種。,,,,"osm(県庁所在地:盛岡市,node:471357225)",4228,,,,発祥は特定なし,わんこそばの起源として、以下の2説が言われている。
クエ,クエ,発祥地,和歌山県,白浜町,和歌山県,白浜町,都道府県のみ,和歌山県西牟婁郡すさみ町沖で全長146cm・体重40kgに達する大型個体が釣れたとのスポーツ新聞の報道もある。,,,,"osm(place=town,node:691598987)",4204,本文の読み直し,和歌山県では白浜町などの観光地でクエ料理をアピールして集客を図っている。,,発祥は特定なし,かつては和歌山県で「クエ料理」、檀一雄の『火宅の人』にも登場する日本料理店「銀鍋」があり、切り身をちり鍋に入れて食べていた長崎県や、福岡県博多の「アラ料理」などとして一部地域でのみ消費される高級魚だった。
ラッカセイ,ラッカセイ,発祥地,千葉県,八街市,千葉県,八街市,都道府県のみ,ラッカセイ（落花生、 学名: ;  または ）は、マメ亜科ラッカセイ属の一年草。,,,,"osm(place=city,node:2098146218)",4183,本文の読み直し,特に千葉県中央部の八街市が生産量では日本一を誇る。,,発祥は特定なし,原産地は南アメリカ大陸である主婦の友社編 2011 110。
河豚の卵巣の糠漬け,河豚の卵巣の糠漬け,発祥地,石川県,白山市,石川県,白山市,都道府県のみ,河豚の卵巣の糠漬け（ふぐのらんそうのぬかづけ）は石川県の郷土料理。,,,,"osm(place=city,node:1822974496)",4097,本文の読み直し,しかし、石川県の白山市美川地域（旧・美川町）や金沢市金石・大野地区では、卵巣を3年以上にもわたって塩漬けおよび糠漬けにすることで解毒し、珍味として販売している。,,発祥は特定なし,河豚の卵巣の糠漬け（ふぐのらんそうのぬかづけ）は石川県の郷土料理。
ベトコンラーメン,ベトコンラーメン,発祥地,愛知県,一宮市,愛知県,一宮市,発祥を述べる文,概要愛知県一宮市、あるいは岐阜県岐阜市が発祥とされる。,,,,"osm(place=city,node:569005518)",4063,,,,発祥がわかる,1969年に一宮市で開業した中華料理屋・ベトコンラーメン新京本店（※本店は現在閉店）店主の稲垣稔が考案した。
ジュンサイ,ジュンサイ,発祥地,秋田県,三種町,秋田県,三種町,都道府県のみ,ジュンサイ（蓴菜、学名: ）は、スイレン目ハゴロモモ科に属する多年生の水草の1種である。,,,,"osm(place=town,node:752195537)",4030,本文の読み直し,最初の栽培は、昭和後期の米の過剰生産によってイネの生産調整が行われたのを機に、1970年（昭和45年）に秋田県山本郡山本町（現：三種町）の農家によって始めたものである農文協編 2004 131。,,発祥は特定なし,日本に自生していた認められる野菜の種類は極めて少なく、その中でもジュンサイは日本原産の野菜として認められるものの一つである農文協編 2004 131。
八ツ橋,八ツ橋,発祥地,京都府,,京都府,,都道府県のみ,この頃の出版物には1926年（大正15年）に京都府内務部が発行した京都名物紹介本『京の華』があり、その中で八ツ橋の起源について「西尾為治の祖先が三河の僧侶から製法を教わって、1689年（元禄2年）に聖護院の森で販売を始めた」との記述があるが、それ以上の詳しいことは書かれておらず真偽についても不明である。,,,,"osm(県庁所在地:京都市,node:533681139)",3902,,,,発祥は特定なし,八ツ橋の起源は不明な部分が多いが、主に以下の2つの説が挙げられるjiten155。
台湾ラーメン,台湾ラーメン,発祥店,愛知県,,愛知県,,都道府県のみ,愛知県中華料理環境衛生同業組合による2000年（平成12年）の調査では、名古屋市内のラーメン専門店約380店のうち、200店以上が台湾ラーメンを提供している。,,,,発祥店:味仙 今池本店(restaurant),3860,,,,発祥がわかる,が、旅行で訪れた台北の台南料理店で食べた担仔麺をもとに考案し、自身が営む中華料理店「味仙」で、1971年（昭和46年）から客への提供元々は賄い料理だったとする資料があるが、郭は最初から商品化を考えていたと発言している。を始めた。
佐野ラーメン,佐野ラーメン,ご当地,栃木県,佐野市,栃木県,佐野市,冒頭の定義文,佐野ラーメン（さのラーメン）とは、栃木県佐野市を中心として食べられているラーメンであり、関東地方のご当地ラーメンの一つ。,栃木県,佐野市,佐野ラーメン（さのラーメン）とは、栃木県佐野市を中心として食べられているラーメンであり、関東地方のご当地ラーメンの一つ。,"osm(place=city,node:1108891363)",3789,,,,発祥がわかる,発祥地である栃木県佐野市とその周辺地域に多く作られているが、北関東を中心にかなり広範な地域でも見られる。
武蔵野うどん,武蔵野うどん,発祥地,東京都,,東京都,,都道府県のみ,武蔵野うどん（むさしのうどん）は、東京都北西部の多摩地域から埼玉県西部にかけて広がる武蔵野台地及びその周辺地域、令制国の一つである武蔵国を中心とした地域において、古くから食べられてきたうどんである。,,,,"osm(武蔵野地域の代表:武蔵野市,node:509904081)",3783,武蔵野地域の代表(表に当てた),そのため、武蔵野地域は江戸時代から小麦・大麦を中心とした畑作の農業地帯として発展しnhkkate、自作の小麦粉を用いるうどんは代表的な郷土料理となったkodairacity。,,発祥は特定なし,武蔵野台地及びその周辺地域、令制国の一つである武蔵国を中心とした地域において、古くから食べられてきたうどんである。
サワラ,サワラ,発祥地,岡山県,,岡山県,,都道府県のみ,岡山県周辺では鮮度の良いものを刺身で食べる。,,,,"osm(県庁所在地:岡山市,node:703048335)",3757,,,,発祥は特定なし,北海道南部・沿海地方から九州南岸・東シナ海の大陸棚域まで、東アジアの亜熱帯域・温帯域に分布する。
シイラ,シイラ,発祥地,高知県,,高知県,,都道府県のみ,シイラ（鱪、鱰、学名: ）は、アジ目シイラ科に分類される魚の一種。,,,,"osm(県庁所在地:高知市,node:574820566)",3757,,,,発祥は特定なし,全世界の暖かい海に分布する表層性の大型肉食魚で、食用に漁獲される。
稲庭うどん,稲庭うどん,発祥地,秋田県,湯沢市,秋田県,湯沢市,冒頭の定義文,稲庭うどん（いなにわうどん）は、秋田県湯沢市稲庭町が発祥の、手延べ製法による干しうどんである。,,,,"osm(place=city,node:506576083)",3711,,,,発祥がわかる,「稲庭古今事蹟誌」によると、寛文年間以前に久保田藩（秋田藩）領の雄勝郡稲庭村小沢集落（現・秋田県湯沢市稲庭町字小沢）の佐藤市兵衛によって始まると伝えられている。
イセエビ,イセエビ,発祥地,千葉県,,千葉県,,都道府県のみ,別名に外房イセエビ（千葉県産）、志摩海老（三重県産）、鎌倉海老（神奈川県産）など。,,,,"osm(県庁所在地:千葉市,node:3675848658)",3648,,,,発祥は特定なし,イセエビ類は古くから日本各地で食用とされており、鎌倉蝦、具足海老（ぐそくえび。海老の甲羅を具足＝鎧兜に見立てた呼び方）などとも呼ばれていた。
讃岐うどん,讃岐うどん,発祥地,香川県,,香川県,,都道府県のみ,讃岐うどん（さぬきうどん、Sanuki udon）は、香川県（旧讃岐国）のうどんである。,,,,"osm(県庁所在地:高松市,node:574804765)",3617,,,,発祥は特定なし,しかし、これも史実としてすべての学会で公認されているとはいえず、結局、
白くま,白くま,発祥店,鹿児島県,鹿児島市,鹿児島県,鹿児島市,冒頭の定義文,白くま（しろくま）は、鹿児島県鹿児島市発祥の氷菓またはアイスクリーム類。,,,,発祥店:むじゃき(amenity=ice_cream),3487,,,,発祥は特定なし,名前の由来 白くまの由来は諸説あるが、商標権などが問題視されておらず詳細は明らかでない。
あんかけスパゲッティ,あんかけスパゲッティ,発祥地,愛知県,名古屋市,愛知県,名古屋市,冒頭の定義文,あんかけスパゲッティは、1960年代に愛知県名古屋市で誕生したスパゲッティ料理。,,,,"osm(place=city,node:569005393)",3457,,,,発祥がわかる,料理そのものは、後に独立して「スパゲッティハウスヨコイ」を立ち上げる横井博が「そ～れ」で働いていた時期の1961年（昭和36年）に生み出した。
チャンプルー,チャンプルー,発祥地,沖縄県,,沖縄県,,都道府県のみ,ゴーヤーチャンプルー 2005年の日本映画 ゴーヤーちゃんぷるー チャンプルー ファイル:Goya Champuru at Yumenoya.jpg        沖縄県            沖縄料理      豆腐、野菜、豚肉チャンプルーは、豆腐を野菜などと炒めた沖縄料理。,,,,"osm(県庁所在地:那覇市,node:567940176)",3377,,,,発祥は特定なし,家庭料理のため発祥は不詳とされているが、料理研究家の新島正子は「婦人たちの知恵が、しらずしらずのうちに生み出した料理」として、短時間で出来上がる沖縄の誇るべき庶民料理と評している。
ホッケ,ホッケ,発祥地,北海道,,北海道,,都道府県のみ,東北地方から北海道周辺に分布する個体は分布域や産卵時期の違いから、4つの系群に分けられている。,,,,"osm(県庁所在地:札幌市,node:57683926)",3363,,,,発祥は特定なし,俗説によれば、鎌倉時代、日蓮宗の日持上人が、蝦夷に渡って布教活動をした折、当地を去る礼として、新たな種類の魚の豊漁をもたらした。
ほうとう,ほうとう,発祥地,山梨県,甲斐市,山梨県,甲斐市,発祥を述べる文,元々は甲斐市付近の郷土料理であったが、1970年頃に甲府市内のほうとう専門店が夏の料理として売り出した。,山梨県,甲斐市,元々は甲斐市付近の郷土料理であったが、1970年頃に甲府市内のほうとう専門店が夏の料理として売り出した。,"osm(place=city,node:1810109727)",3328,,,,発祥は特定なし,発生地や時期の定説はなく、後述するさまざまな説が唱えられている。
クビレズタ,クビレズタ,発祥地,沖縄県,,沖縄県,,都道府県のみ,クビレズタまたはクビレヅタ（括れ蔦、学名: ）とは、緑藻のハネモ目イワズタ科イワズタ属に分類される海藻の1種である。,,,,"osm(宮古島地方の代表:宮古島市,node:656408752)",3251,宮古島地方の代表(表に当てた),宮古島地方では古くから天然藻体が採取され、年3–5トンほどが利用されていたと推定されている。,,発祥は特定なし,宮古島地方では古くから天然藻体が採取され、年3–5トンほどが利用されていたと推定されている。
